N,Env,Delta_opt,E_res_0,E_res_opt,BLP_0,BLP_opt
1,A,0.1118033988749895,1.927010783972239,3.035002998563611,0.0,0.0
1,B,0.1118033988749895,2.2647982685629318,3.162975261472081,0.0,0.0
2,A,0.158113883008419,3.2296395538505553,7.230079590039625,0.0,0.00443305920620625
2,B,0.158113883008419,3.9464572066936854,7.155492804615375,0.0,0.0
3,A,0.19364916731037085,4.0704930746902095,12.134724084414904,0.0,0.01080563024641415
3,B,0.19364916731037085,5.1168023412820185,11.67767153389811,0.0,0.0
4,A,0.223606797749979,4.617152340033177,17.447018475600476,0.0,0.005324181259049025
4,B,0.223606797749979,5.89734289476818,16.549943167249445,0.0,0.0
